order,q0,q1,p0,p1
2652.0,0.003133935093317999,0.0038602536941689997,-0.00304688002446822,0.0015724275469548
2653.0,0.0031266027025830005,0.0038652876266800002,-0.0030511461987574903,0.0015674888504151
2654.0,0.0031192115915960007,0.003870226361253,-0.00305519798009397,0.0015624496658558
2655.0,0.00311176211722,0.0038750684099279993,-0.00305903454796269,0.0015573113497730998
2656.0,0.0031042546782750003,0.003879812316644,-0.00306265521980923,0.0015520753009929
2657.0,0.003096689714884,0.003884456658384,-0.0030660594518164496,0.0015467429595633
2658.0,0.0030890677074629997,0.0038890000462759996,-0.00306924683955859,0.0015413158055012002
2659.0,0.0030813891758660005,0.00389344112668,-0.00307221711844674,0.0015357953576321999
2660.0,0.0030736546785269992,0.0038977785822890006,-0.0030749701640962095,0.0015301831723465002
2661.0,0.0030658648114700003,0.0039020111331590003,-0.00307750599255035,0.0015244808423123997
2662.0,0.003058020207379,0.0039061375377379996,-0.0030798247603404396,0.0015186899952648
2663.0,0.003050121534592,0.0039101565938940005,-0.00308192676432406,0.0015128122926472997
2664.0,0.0030421694961239995,0.003914067139765999,-0.00308381244153041,0.0015068494283665
2665.0,0.0030341648287310003,0.003917868054782001,-0.00308548236865409,0.0015008031273782997
2666.0,0.003026108301796,0.003921558260483,-0.00308693726154676,0.0014946751443967999
2667.0,0.0030180007164040006,0.003925136721343,-0.00308817797439799,0.0014884672624974004
2668.0,0.003009842904322,0.00392860244555,-0.00308920549893111,0.0014821812917084
2669.0,0.0030016357269080003,0.003931954485677001,-0.00309002096321914,0.0014758190676424005
2670.0,0.002993380074221999,0.0039351919394459995,-0.0030906256304826397,0.0014693824500104998
2671.0,0.0029850768639350005,0.003938313950218,-0.003091020897648939,0.0014628733212238994
2672.0,0.0029767270403819996,0.003941319707611,-0.003091208293785403,0.0014562935849067
2673.0,0.0029683315735280005,0.003944208447918001,-0.003091189478233421,0.0014496451644007995
2674.0,0.0029598914580519996,0.003946979454548,-0.003090966238745907,0.0014429300013091002
2675.0,0.00295140771233,0.003949632058365999,-0.003090540489333151,0.0014361500539595
2676.0,0.0029428813775469994,0.003952165637918,-0.003089914267888961,0.0014293072958821997
2677.0,0.002934313516672,0.003954579619714,-0.0030890897338350775,0.0014224037142845
2678.0,0.002925705213659999,0.003956873478205,-0.0030880691653360224,0.0014154413085069998
2679.0,0.0029170575724849998,0.003959046735969,-0.00308685495655959,0.0014084220884359
2680.0,0.00290837171623,0.0039610989635720005,-0.0030854496146402203,0.001401348073015
2681.0,0.0028996487863409996,0.003963029779553999,-0.0030838557565047798,0.0013942212885891003
2682.0,0.002890889941704,0.0039648388501200005,-0.0030820761055781395,0.0013870437674219998
2683.0,0.002882096357862,0.003966525888974,-0.0030801134882313,0.0013798175460360998
2684.0,0.002873269226261,0.003968090656967,-0.00307797083018369,0.0013725446637188003
2685.0,0.0028644097533939996,0.003969532961581,-0.00307565115262556,0.0013652271609335
2686.0,0.0028555191601959996,0.003970852656529999,-0.0030731575683582797,0.0013578670777257002
2687.0,0.0028465986812000006,0.003972049641173999,-0.00307049327759179,0.0013504664522219997
2688.0,0.0028376495639440003,0.003973123859814001,-0.0030676615637661104,0.0013430273190680997
2689.0,0.002828673068241,0.003974075301005999,-0.00306466578912634,0.0013355517079163997
2690.0,0.002819670465605,0.003974903996774,-0.00306150939027336,0.0013280416418957
2691.0,0.0028106430385530005,0.003975610021756,-0.0030581958734797895,0.0013204991361960004
2692.0,0.002801592080121,0.003976193492263999,-0.0030547288100094996,0.0013129261965429
2693.0,0.0027925188931969998,0.003976654565273,-0.0030511118312195797,0.0013053248178346998
2694.0,0.0027834247900769995,0.003976993437419,-0.0030473486236421597,0.0012976969826898003
2695.0,0.002774311091895001,0.003977210343830999,-0.00304344292394194,0.0012900446601700993
2696.0,0.0027651791281320002,0.003977305557071,-0.00303939851384031,0.0012823698044201997
2697.0,0.0027560302361789996,0.003977279385801,-0.00303521921484683,0.0012746743534086003
2698.0,0.0027468657608999995,0.0039771321735869985,-0.003030908883087,0.001266960227764
2699.0,0.0027376870541610003,0.003976864297661999,-0.0030264714039463696,0.0012592293295381992
2700.0,0.002728495474485,0.0039764761674370005,-0.00302191068675701,0.0012514835411733005
2701.0,0.0027192923866719994,0.003975968223323001,-0.0030172306593492498,0.0012437247244442
2702.0,0.002710079161381,0.003975340935184999,-0.0030124352627449993,0.0012359547195034
2703.0,0.002700857174859,0.003974594801,-0.00300752844562155,0.0012281753439126
2704.0,0.0026916278086070006,0.003973730345381001,-0.0030025141589761,0.0012203883919508999
2705.0,0.002682392449040001,0.003972748118214001,-0.00299739635064017,0.0012125956337349004
2706.0,0.002673152487233999,0.003971648693057,-0.0029921789599518,0.0012047988146440998
2707.0,0.002663909318623,0.003970432665842001,-0.0029868659122743004,0.0011969996547091996
2708.0,0.0026546643427519992,0.003969100653319,-0.0029814611138005,0.0011891998481126
2709.0,0.002645418963046,0.003967653291674001,-0.002975968446142,0.0011814010628402
2710.0,0.002636174586524,0.003966091235051,-0.0029703917611998,0.0011736049403231
2711.0,0.0026269326235889997,0.003964415154163,-0.0029647348759619,0.0011658130952721002
2712.0,0.0026176944878149996,0.003962625734971999,-0.0029590015674861,0.0011580271155476
2713.0,0.0026084615957,0.003960723677249001,-0.0029531955678601994,0.0011502485621596998
2714.0,0.0025992353664769994,0.003958709693248,-0.0029473205593822,0.0011424789693793003
2715.0,0.0025900172218960003,0.003956584506627,-0.0029413801698296,0.0011347198449378998
2716.0,0.0025808085859700004,0.003954348850978999,-0.0029353779677284,0.0011269726703146
2717.0,0.0025716108848299994,0.003952003468847,-0.0029293174579561,0.0011192389011608003
2718.0,0.0025624255464510005,0.003949549110522,-0.0029232020773289997,0.0011115199678176004
2719.0,0.002553254000466,0.003946986533041,-0.0029170351904327,0.0011038172759178003
2720.0,0.0025440976779550007,0.003944316499204,-0.0029108200855155,0.0010961322071398004
2721.0,0.002534958011123,0.003941539776659,-0.0029045599706843,0.0010884661199836
2722.0,0.002525836433186,0.003938657137147,-0.0028982579701578,0.0010808203507626994
