order,q0,q1,q2,q3,q4,q5,q6,q7,q8,p0,p1,p2,p3,p4,p5,p6,p7,p8
35.0,0.0007356402331074,0.004495646032002001,-0.0007285060785888902,0.003882770596402,-0.0027554449093902004,0.0006448938620020001,-0.0004954359915383,7.193046178999817e-07,-0.0013951513299610002,0.00267370561379697,-0.0020601905240180004,0.003080167575473,0.00108119513218743,-0.00014774180751129986,0.0022512136380330996,0.0003931363356189997,-0.0015071218766316299,0.0021140453751144995
36.0,0.0019157076037330002,0.004924913458083999,-0.0014043812666447004,0.0035012681598559996,-0.0025846750428147993,-5.53520155240001e-05,-0.000623108024213,0.00041553143129459993,-0.0019418078905017997,-0.0019620035792008,-0.000816067587538,0.00271016549679,0.0018892628989772002,-0.0008435555216132999,0.0023348905948774,0.0002489262043780003,-0.0014026735769079,0.001566480664593
37.0,-0.0026402184758802,0.0049775339474541005,-0.001989977894305,0.0029550345213290004,-0.0022533568181913,-0.0007751339136865999,-0.0006946510708897999,0.0007366525644747,-0.0023148887529147997,-0.0006563702642318191,0.0005226117556285,0.0021776333006474,0.0026042310888076,-0.0014905515061386,0.0022185022383973997,5.510743725200004e-05,-0.0011777221704488,0.0008847438525364001
38.0,0.0007663830456016999,0.0046752016135680995,-0.0024122205694511,0.002281196599895,-0.0017708740624512997,-0.0014523287678313997,-0.0007047895599148999,0.0009427414242768999,-0.0024717199840075,0.0025979661966932396,0.0018336362740042998,0.0015168397488690998,0.003179208169842,-0.0020080330967361,0.0019080762979062998,-0.0001820576147908702,-0.0009156379668839601,0.0001175180648849998
39.0,0.0018488430632600003,0.004076670205893999,-0.00261666640235832,0.0015298630703514,-0.0011847956736050001,-0.0019928161809767003,-0.0006221240587129999,0.00109462266814209,-0.0023614002448543,-0.0019608800943045,0.003029323488848,0.0008169852328491,0.0035718203373674,-0.0023543692942909,0.0014069149504886001,-0.00042811528574188015,-0.0006481148227383001,-0.0006474172381818001
40.0,-0.0026028503876478998,0.003184560111045,-0.0026228653972225997,0.0007404051801652201,-0.00053515591136619,-0.0023157856219656998,-0.0004421658748411,0.0011947873314746,-0.0020098060302626,-0.0006145182364648402,0.0040393039287600005,0.00012909747429944995,0.0037875882415509994,-0.0025530987623419003,0.0007623853755037999,-0.0006180857599201999,-0.00034179569280239986,-0.001301352130808
41.0,0.0007633235030418002,0.0020109252903960004,-0.0024456123268307996,-7.743924251929989e-05,0.00015940837892019995,-0.00241209533466325,-0.00020800322494900024,0.0011882444582858999,-0.0015049992093892,0.00254248710811912,0.004756607423624,-0.0005441890667320202,0.0038556525761649996,-0.0026123009952139,5.260022323609987e-05,-0.0007286769183899998,-2.4068203590810017e-05,-0.0017995222481079001
42.0,0.0018077721459200003,0.0006658807515958004,-0.0020865845962748,-0.0009092885816330002,0.0008464316016523401,-0.0023095189899132,5.3430159045000147e-05,0.0010917231577354401,-0.0009010828089046999,-0.0019276085400589996,0.0051024633428309995,-0.0011366135004409,0.0037725027049829996,-0.0024911635482471996,-0.0006541913694503001,-0.0007824122840056002,0.0002376881795998001,-0.0021441065533649
43.0,-0.0025657431545824997,-0.0007001908882424999,-0.0016165562711360003,-0.0017039829800253997,0.0014420876559932002,-0.0020189084315029,0.0003392978559040003,0.0009661548543553,-0.0002218584175580001,-0.0005917678328626998,0.005091710987185799,-0.0015402762079451,0.003514768386684701,-0.0021730634638187,-0.0012882858505068998,-0.0007724968158174001,0.00045600445788930013,-0.0023006477636626
44.0,0.000768555206472,-0.0019919060672761997,-0.0011401093199362496,-0.0024088355892891004,0.0019058634049433,-0.0015562629976312004,0.0006125274848466899,0.0007981299091446,0.0004675842210291999,0.0025021995170260674,0.0047554364371406,-0.0017464527879978997,0.0030801650907925997,-0.0017054742886585,-0.0017763570280665004,-0.0006623353790678,0.0006733661283730997,-0.002230492008992
45.0,0.0017705897730939998,-0.003135077002073,-0.0006723373761220001,-0.0030059517035169996,0.0022480244766137,-0.0009687763568680001,0.0008199351361895998,0.0005533769791813,0.0010947530821929998,-0.0019040105335862,0.004081926217244,-0.0018319831763117002,0.0024872513684159997,-0.0011433295499011999,-0.00208368752860841,-0.00045863300704100023,0.0008444282479924097,-0.0019649380243276
46.0,-0.0025272343991105998,-0.004042153035079,-0.00018178582031800028,-0.0034809112215372995,0.0024542369944679002,-0.0003141476489968,0.000957304145228,0.0002861242951991,0.0016336318148157003,-0.0005732020254008001,0.0030976608968820004,-0.0018227650009609998,0.0017603618677505001,-0.0005219040025358,-0.0022218255754448,-0.00020316353680599995,0.0009121296540016,-0.0015546331392959811
47.0,0.0007795860832061901,-0.004664292388331001,0.0002856885578689999,-0.0037862246166492004,0.0024793174606525,0.0003505151977634,0.0010397333538937998,5.45191663945001e-05,0.0020527931897169997,0.0024718907859840296,0.0019165813229016,-0.001698986416312,0.0009437139716348001,0.00011125121681129996,-0.0021974752284995,9.084052340399967e-05,0.00091624634723479,-0.0010054096596368001
48.0,0.0017423034296310002,-0.005006737638718,0.0006575680032398999,-0.003881432412710001,0.0023216061350381,0.0009585817413951897,0.0010356113735112001,-0.00017641048972930003,0.0022745583850672,-0.0019160284713046999,0.0006460734044381001,-0.0014895947247541,0.00010419304890489996,0.0007034747014402,-0.0020006800913971003,0.00041980748334,0.0009048382874430999,-0.00034059299713500013
49.0,-0.0025203143871046995,-0.0050346783653045,0.0009516203682158999,-0.0037787679519229998,0.0020323920917995003,0.0014522079284162998,0.0009035243254894,-0.00043655981182270004,0.0022601722691408003,-0.0005463060899104,-0.0006730782162765998,-0.0012324577008109901,-0.0007092782687637999,0.0012397369507343998,-0.0016383180989301004,0.000736955737129,0.0008363478046512001,0.0003479254280170002
50.0,0.0007853142650812,-0.0046796170505971,0.0012068663615505,-0.0035174784127299996,0.0016451625305436,0.0018130458149205996,0.000665255738898,-0.0006655997448462,0.0020559763038514,0.0024435758636899606,-0.0019802684363359998,-0.0008942745692251999,-0.0014858000008048,0.0017198853652981,-0.0011494441395020999,0.0009919406867141003,0.0006796647320455302,0.0009796133042761
51.0,0.0017132558232580003,-0.003952907570394,0.0013708761319459997,-0.0031092517441671996,0.0011610321483748003,0.0020438598838798507,0.00036617562139900034,-0.0008204458647268001,0.0017039110546051,-0.001902267903655,-0.0031641007932930003,-0.0004711941404700002,-0.0022071985187894,0.00209917446966925,-0.0005841404077227,0.0011847431657926,0.00048363621805779997,0.0015322472540722002
52.0,-0.002498647661981,-0.0029567658181850996,0.00138927700846906,-0.0025546513571891,0.000599669665107,0.0021282349512522,1.5331667415000202e-05,-0.0009354254019654101,0.0011987171456206002,-0.0005233386623899999,-0.00413161256208,-6.794266216200023e-05,-0.0028167316889910004,0.0023169068318908996,5.616556948699961e-06,0.001314553410653,0.00027159429180780004,0.0019664601897556003
53.0,0.0007901819254237001,-0.0017696264353960003,0.0013097685259319998,-0.0018772360366702,5.491352711159935e-06,0.0020432843817813004,-0.00037315504182699967,-0.0010120121963486997,0.0005730748631035002,0.0024100923099638003,-0.0048213505170379995,0.00023465504145299965,-0.0032659187981349995,0.0023691096067765,0.0005669743880179998,0.001330740617985,4.512593656099978e-06,0.0022141892277496
54.0,0.0016836317695030005,-0.00042908425473929984,0.0011840621505965002,-0.0011077398356692,-0.0005910155640493,0.0017916517613592998,-0.0007413120686519996,-0.00098527834100957,-9.107093834900002e-05,-0.0018685543569044003,-0.005153850572258,0.0004835173294225004,-0.00355427997067759,0.0022924583396236,0.0010670915183527997,0.0012023500235107,-0.00029881998109849983,0.002265495993349
